Sprint e Objetivo,Data prevista**,Pessoa,Status
Sprint 2: Fazer o SEO copywriting das páginas de Serviços do site,4 de setembro de 2024 → 9 de setembro de 2024,,Concluído
Sprint 6: Criar funil de email de Nutrição para leads Comercial,,,Não iniciada
Sprint 4: Criar linha editorial com posts para LinkedIn,23 de setembro de 2024 → 25 de setembro de 2024,,Concluído
Sprint 5: Criar linha editorial para Instagram,18 de setembro de 2024 → 20 de setembro de 2024,,Concluído
Sprint 8: Roteirizar 10 videos para Redes Sociais,14 de outubro de 2024 → 31 de outubro de 2024,,Concluído
Sprint 1: Onboarding e treinamento,30 de agosto de 2024 → 6 de setembro de 2024,OSP Mkt,Concluído
Processo Seletivo,20 de agosto de 2024,OSP Mkt,Concluído
"Sprint 3: Atualizar Materiais de Apoio para Venda ",17 de dezembro de 2024 → 27 de dezembro de 2024,,Concluído
9️⃣ Sprint 9: Atualizar parte descritiva dos processos do Notion e Drive,8 de novembro de 2024 → 16 de novembro de 2024,,Concluído
Sprint 7: Definir Pautas e montar calendário de Conteúdo,3 de dezembro de 2024,,Concluído
