Nome,Tags
"Relatório de Comissões da Pré-venda ","Administrativo, Passo a passo"
Rotina - Pré-venda,"Gestão Estratégica, Rotina"
Processo de Vendas: Sales Engagement,"Fundamentos, Gestão Estratégica"
Prospecção Outbound,"Fundamentos, Gestão Estratégica"
Fluxo de Cadência,Fundamentos
Rotina - Gestor de Mkt e Comercial,"Gestão Estratégica, Rotina"
Roteiro Call Guide,Passo a passo
"Passagem de Bastão ","Administrativo, Gestão Estratégica"
Playbook de Vendas,"Fundamentos, Gestão Estratégica"
"Como trabalhar o ICP ",Passo a passo
Roteiro de Pré-qualificação via WhatsApp,"Passo a passo, Rotina"
