Sprint e Objetivo,Status,Data prevista**,Pessoa
Processo Seletivo,Concluído,20 de agosto de 2024,OSP Mkt
Sprint 1: Onboarding e treinamento,Concluído,30 de agosto de 2024 → 6 de setembro de 2024,OSP Mkt
Sprint 2: Fazer o SEO copywriting das páginas de Serviços do site,Concluído,4 de setembro de 2024 → 9 de setembro de 2024,
"Sprint 3: Atualizar Materiais de Apoio para Venda ",Concluído,17 de dezembro de 2024 → 27 de dezembro de 2024,
Sprint 4: Criar linha editorial com posts para LinkedIn,Concluído,23 de setembro de 2024 → 25 de setembro de 2024,
Sprint 5: Criar linha editorial para Instagram,Concluído,18 de setembro de 2024 → 20 de setembro de 2024,
Sprint 6: Criar funil de email de Nutrição para leads Comercial,Não iniciada,,
Sprint 7: Definir Pautas e montar calendário de Conteúdo,Concluído,3 de dezembro de 2024,
Sprint 8: Roteirizar 10 videos para Redes Sociais,Concluído,14 de outubro de 2024 → 31 de outubro de 2024,
9️⃣ Sprint 9: Atualizar parte descritiva dos processos do Notion e Drive,Concluído,8 de novembro de 2024 → 16 de novembro de 2024,
