Pergunta,Frequência,Tags,Resumo da IA,Criado por,Última edição
Atendem o terceiro setor?,Alta,Sobre Nós,"Atendemos o terceiro setor, mas atualmente estamos em reestruturação e não estamos aceitando novas entidades.",OSP Mkt,8 de novembro de 2024 20:03
Como é a estrutura da OSP?,Média,Sobre Nós,"A OSP tem sua matriz em Campinas e uma filial em São Paulo, contando atualmente com cerca de 60 colaboradores especializados em lucro real e presumido.",Juliana,7 de novembro de 2024 13:24
Quanto tempo de experiência tem no lucro real?,Média,Sobre Nós,"A OSP possui 48 anos de experiência, sendo mais de 20 anos dedicados ao atendimento do Lucro Real.",Juliana,8 de novembro de 2024 17:59
Vocês atendem o segmento de importação?,Média,Sobre Nós,"A empresa atende várias empresas do segmento de importação e oferece suporte com parceiros aduaneiros, podendo indicar um caso o cliente ainda não tenha um.",Juliana,14 de novembro de 2024 17:11
Onde vocês estão localizados?,Alta,Sobre Nós,"A matriz da empresa está localizada em Campinas, e há uma filial em São Paulo.",Juliana,18 de novembro de 2024 15:02
Qual o prazo para entrega de um estudo tributário?,Média,Produtos,"O prazo para a entrega de um estudo tributário é de até 90 dias, podendo ser ajustado conforme a necessidade.",Juliana,19 de novembro de 2024 17:25
Vocês tem atendimento em inglês?,Média,Sobre Nós,"A empresa oferece atendimento em inglês, contando com contadores bilíngues e a possibilidade de entrega de relatórios em inglês, devido ao atendimento a multinacionais.",Juliana,19 de novembro de 2024 17:26
Como funciona a migração?,Alta,Processo Comercial,"A migração envolve um aviso prévio de 30 dias com a contabilidade atual, durante o qual ocorre o onboarding, conectando as pessoas e organizando o processo com o contador atual para garantir que tudo esteja pronto quando a nova equipe começar a atuar.",Juliana,22 de novembro de 2024 16:45
Como é feita a precificação da assessoria da OSP?,Média,"Negociação, Produtos","A precificação da assessoria da OSP considera a média de faturamento, a quantidade de funcionários e o volume de notas, além de identificar a mão de obra necessária de forma personalizada para cada empresa.",Juliana,25 de novembro de 2024 17:20
"Como vocês recebem o material do cliente (notas fiscais, dados, informações)? ",Média,Processo operacional,"O material do cliente, como notas fiscais e dados, pode ser enviado de forma integrada via sistema ou acessado através do sistema utilizado, podendo ser em formatos como PDF ou TXT, conforme o que for melhor para a empresa e o ERP utilizado.",Juliana,26 de novembro de 2024 17:57
Como é apresentado o estudo tributário?,Média,Produtos,"O estudo tributário é apresentado em uma reunião que inclui a apresentação de resultados, simulações e a entrega de relatórios e da apresentação em si.",Juliana,12 de dezembro de 2024 13:18
Quantas indústrias no lucro real vocês atendem?,Baixa,Sobre Nós,"A OSP atende principalmente empresas no lucro real, com cerca de 250 indústrias, exceto aquelas que se beneficiam do lucro presumido.",Juliana,12 de dezembro de 2024 13:18
Como é feito o nosso atendimento?,Alta,Pós-venda,"O atendimento ao cliente é realizado por meio de WhatsApp, telefone, plataforma e e-mail.",Juliana,12 de dezembro de 2024 13:20
Qual a diferença entre a contabilidade standard e consultiva?,Alta,Produtos,"A contabilidade standard foca na eficiência e conformidade, enquanto a contabilidade consultiva inclui serviços estratégicos e planejamento tributário contínuo para apoiar o crescimento.",Juliana,12 de dezembro de 2024 13:25
A contabilidade para multinacionais como funciona?,Baixa,Produtos,"Oferecemos contabilidade standard e consultiva para multinacionais, com atendimento em inglês e responsabilidade pelos reports à matriz, seguindo normas e prazos exigidos.",Juliana,12 de dezembro de 2024 13:29
Como funciona a entrega da contabilidade mensal?,Média,Processo operacional,"As informações contábeis são entregues por meio de relatórios e dashboards, com prazos estabelecidos para envio ao cliente e OSP, sempre respeitando os acordos feitos.",Juliana,24 de dezembro de 2024 10:41
Qual o prazo de abertura de CNPJ?,Média,Processo operacional,"O prazo para abertura de empresas varia, sendo em média 60 dias com inscrição estadual, e pode chegar a 90 a 120 dias para empresas com sócio estrangeiro.",Juliana,12 de dezembro de 2024 13:34
Para quem é indicado o estudo tributário?,Alta,Produtos,,Juliana,20 de dezembro de 2024 11:42
Quantos clientes a OSP atende?,Média,Sobre Nós,,Juliana,23 de dezembro de 2024 09:25
Como criar listas para leads Outbound?,Baixa,Processo Comercial,,Juliana,24 de dezembro de 2024 10:45
Como fazer a qualificação de um lead inbound?,Baixa,Processo Comercial,,Juliana,24 de dezembro de 2024 10:18
Como fazer a qualificação de um lead outbound?,Baixa,Processo Comercial,,Juliana,24 de dezembro de 2024 10:58
Como funciona o processo de Follow Up?,Baixa,Follow up,,Juliana,24 de dezembro de 2024 10:19
Cliente fechou a venda e agora?,Média,Processo Comercial,,Juliana,24 de dezembro de 2024 10:22
Como e  feito o onboarding?,Média,Processo operacional,,Juliana,24 de dezembro de 2024 10:24
É possível integrar o ERP do cliente ao nosso sistema?,Média,Processo operacional,,Juliana,24 de dezembro de 2024 10:25
Quantos funcionários a OSP tem?,Média,Sobre Nós,,Juliana,24 de dezembro de 2024 10:47
Qual o tipo de assessoria que a OSP atende?,Baixa,"Produtos, Sobre Nós",,Juliana,24 de dezembro de 2024 10:54
Agendei a reunião e agora?,Baixa,Processo Comercial,,Juliana,24 de dezembro de 2024 11:01
"O lead chegou o inbound e não é ICP, como fazer?",Média,Processo Comercial,,Juliana,24 de dezembro de 2024 11:23
"Quero mudar para o Lucro Real, o que preciso ter?",Média,Produtos,,Juliana,24 de dezembro de 2024 11:28
"O cliente quer fechar uma proposta e pediu desconto, o que fazer?",Alta,Negociação,,Juliana,24 de dezembro de 2024 11:32
Como são feitos os reports para as multinacionais?,Média,Processo operacional,,Juliana,24 de dezembro de 2024 11:43
Qual o sistema que a OSP usa?,Média,Processo operacional,,Juliana,24 de dezembro de 2024 11:52
"Tenho um ERP com módulo contábil (exemplo Protheus, SAP), vocês consegue integrar?",Média,Processo operacional,,Juliana,24 de dezembro de 2024 11:53
