Sprint e Objetivo,Status,Data prevista**,Pessoa
Processo Seletivo,Concluído,20 de agosto de 2024,OSP Mkt
Sprint 1: Onboarding e treinamento,Concluído,30 de agosto de 2024 → 6 de setembro de 2024,OSP Mkt
Sprint 2: Fazer o SEO copywriting das páginas de Serviços do site,Não iniciada,4 de setembro de 2024 → 9 de setembro de 2024,
Sprint 3: Revisar e atualizar estes artigos não publicados,Não iniciada,10 de setembro de 2024 → 13 de setembro de 2024,
"Sprint 4: Criar Materiais de Apoio para Venda ",Não iniciada,16 de setembro de 2024 → 20 de setembro de 2024,
Sprint 4: Criar linha editorial com posts para LinkedIn,Não iniciada,23 de setembro de 2024 → 25 de setembro de 2024,
Sprint 5: Criar linha editorial para Instagram,Não iniciada,18 de setembro de 2024 → 20 de setembro de 2024,
Sprint 6: Criar funil de email de Nutrição para leads Comercial,Não iniciada,30 de setembro de 2024 → 4 de outubro de 2024,
Sprint 7: Criar funil de email para Novos Clientes,Não iniciada,7 de outubro de 2024 → 11 de outubro de 2024,
Sprint 8: Roteirizar 10 videos para Youtube,Não iniciada,14 de outubro de 2024 → 31 de outubro de 2024,
9️⃣ Sprint 9: Atualizar parte descritiva dos processos do Notion e Drive,Não iniciada,26 de agosto de 2024 → 8 de novembro de 2024,
Sprint 10: Definir Pautas e montar calendário de Conteúdo,Em andamento,,
